lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.87417370129676	0.00456636039986749	191.437737004317	0	0.865223799372589	0.88312360322093
Belong	=~	sbmyself		0.849686657174192	0.00497495117889358	170.792963914705	0	0.839935932038715	0.859437382309668
Belong	=~	sbcommunity		0.896181836854425	0.00422837470126295	211.944754230686	0	0.88789437472681	0.904469298982041
Gains	=~	pganalyze		0.715528220233186	0.0082415518042526	86.8195986906224	0	0.69937507552013	0.731681364946242
Gains	=~	pgthink		0.785879971746023	0.00697097445849023	112.736028000916	0	0.772217112870234	0.799542830621812
Gains	=~	pgwork		0.749086920160999	0.00762993500578373	98.1773658089051	0	0.734132522345282	0.764041317976717
Gains	=~	pgvalues		0.707259924357985	0.00839027707312346	84.2951809807983	0	0.690815283474351	0.723704565241619
Gains	=~	pgprobsolve		0.761593028853942	0.00740792253237551	102.807909440937	0	0.747073767490223	0.77611229021766
SupportEnv	=~	SEacademic		0.84850460287055	0.0050289663724255	168.723459262527	0	0.838648009901133	0.858361195839967
SupportEnv	=~	SEwellness		0.825182239557168	0.00548985317790362	150.310438697793	0	0.814422325048064	0.835942154066272
SupportEnv	=~	SEnonacad		0.77098938034199	0.00658665625576132	117.053228588878	0	0.758079771302152	0.783898989381827
SupportEnv	=~	SEactivities		0.743302610024813	0.00713699399209268	104.147854243445	0	0.729314358842432	0.757290861207193
SupportEnv	=~	SEdiverse		0.795702858094002	0.0060879426005971	130.701438941944	0	0.783770709856885	0.807635006331119
Satisf	=~	sameinst		0.895099075128173	0.00791237436947284	113.126481803187	0	0.879591106331809	0.910607043924538
Satisf	=~	evalexp		0.867599303038939	0.00795017471747709	109.129589458163	0	0.852017246921883	0.883181359155995
DevAdj	=~	Belong		0.524773838054591	0.0123204005690802	42.5938941767516	0	0.500626296664087	0.548921379445095
DevAdj	=~	Gains		0.283504510250863	0.0148137705106268	19.1379034829444	0	0.254470053574793	0.312538966926933
DevAdj	=~	SupportEnv		0.544731696930609	0.0124637683795533	43.7052166200583	0	0.520303159795035	0.569160234066182
DevAdj	=~	Satisf		0.586560910182077	0.0124004516470271	47.3015763359474	0	0.562256471561874	0.610865348802281
EmoDiss	=~	MHWdacad		0.925572058490781	0.00227721067846564	406.44990261262	0	0.921108807575778	0.930035309405783
EmoDiss	=~	MHWdlonely		0.93910442542157	0.00193697418731593	484.83063510665	0	0.935308025775446	0.942900825067692
EmoDiss	=~	MHWdmental		0.954054929328665	0.00155597754974133	613.154688181246	0	0.951005269370419	0.957104589286911
EmoDiss	=~	MHWdexhaust		0.945932815260946	0.00174973608891872	540.614565391689	0	0.942503395544215	0.949362234977677
EmoDiss	=~	MHWdsleep		0.933365015269483	0.00208447959541394	447.768842315837	0	0.929279510335963	0.937450520203003
EmoDiss	=~	MHWdfinancial		0.882010274892714	0.00339265646908033	259.976299672865	0	0.875360790401399	0.888659759384028
