lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.882736934302902	0.00776363376881292	113.701516659495	0	0.86752049172687	0.897953376878935
Belong	=~	sbmyself	1		0.836804438919885	0.00887882263463278	94.2472299937428	0	0.819402266330886	0.854206611508885
Belong	=~	sbcommunity	1		0.886726484144355	0.0077167100494985	114.909913480808	0	0.8716020103682	0.901850957920511
Gains	=~	pganalyze	1		0.732740524578039	0.0126379725749099	57.9792779446877	0	0.70797055349361	0.757510495662467
Gains	=~	pgthink	1		0.778578264934783	0.0115001403289349	67.7016316901665	0	0.756038404072914	0.801118125796652
Gains	=~	pgwork	1		0.748607884169116	0.0120242123566277	62.2583718555572	0	0.725040861007664	0.772174907330568
Gains	=~	pgvalues	1		0.717187399706688	0.0129698731050251	55.2964083687773	0	0.691766915536784	0.742607883876592
Gains	=~	pgprobsolve	1		0.76380627593231	0.0117443967132264	65.0358034203767	0	0.740787681354235	0.786824870510384
SupportEnv	=~	SEacademic	1		0.845983709036219	0.00835076671517139	101.306112108157	0	0.829616507031187	0.86235091104125
SupportEnv	=~	SEwellness	1		0.829671808120991	0.00848677279220836	97.760577363719	0	0.813038039103288	0.846305577138694
SupportEnv	=~	SEnonacad	1		0.788509265578403	0.00981809110178706	80.3118709537011	0	0.769266160621968	0.807752370534839
SupportEnv	=~	SEactivities	1		0.770002870040535	0.0104651611501274	73.5777365483916	0	0.749491531093877	0.790514208987192
SupportEnv	=~	SEdiverse	1		0.795455141019993	0.00957045696019637	83.1156907479235	0	0.776697390062418	0.814212891977569
Satisf	=~	sameinst	1		0.886020759426624	0.0136236448238902	65.0355151561875	0	0.859318906233634	0.912722612619615
Satisf	=~	evalexp	1		0.857164113741697	0.0138138702569099	62.0509746942884	0	0.830089425551044	0.884238801932349
DevAdj	=~	Belong	1		0.537899840701875	0.0203033656700142	26.4931366278987	0	0.4981059752237	0.57769370618005
DevAdj	=~	Gains	1		0.316010035672592	0.0230048394893981	13.7366763988172	0	0.270921378803247	0.361098692541937
DevAdj	=~	SupportEnv	1		0.572440381749243	0.0201032461479834	28.4750222693098	0	0.533038743326852	0.611842020171634
DevAdj	=~	Satisf	1		0.614749788127541	0.0199863178813314	30.75853150028	0	0.575577324896562	0.653922251358519
EmoDiss	=~	MHWdacad	1		0.910510728179248	0.00436169639244086	208.751514607305	0	0.901961960338566	0.91905949601993
EmoDiss	=~	MHWdlonely	1		0.933859360730948	0.0035156709571699	265.627634698413	0	0.926968772273401	0.940749949188494
EmoDiss	=~	MHWdmental	1		0.94997658575213	0.00280881040950055	338.213139106476	0	0.944471418510107	0.955481752994152
EmoDiss	=~	MHWdexhaust	1		0.940088260223973	0.00331312460406278	283.746726299148	0	0.933594655323716	0.946581865124229
EmoDiss	=~	MHWdsleep	1		0.924692577606052	0.00398316751178454	232.150060189603	0	0.916885712738564	0.932499442473539
EmoDiss	=~	MHWdfinancial	1		0.87246723088609	0.00587803095163122	148.428485332145	0	0.860946501920881	0.883987959851298
QualEngag	=~	QIadmin	1		0.895931088620208	0.00522844726990503	171.357009523112	0	0.885683520276127	0.906178656964288
QualEngag	=~	QIstudent	1		0.912830391625435	0.00454311282017473	200.92619922882	0	0.90392605412019	0.92173472913068
QualEngag	=~	QIadvisor	1		0.927157892208733	0.00384399836145022	241.196224615181	0	0.91962379386366	0.934691990553807
QualEngag	=~	QIfaculty	1		0.939249670509482	0.00337398466237453	278.379946709201	0	0.932636782086837	0.945862558932126
QualEngag	=~	QIstaff	1		0.925508988207584	0.00392190543768498	235.984524082226	0	0.91782219479895	0.933195781616218
EmoDiss	~	x_FASt	1	W4__a1_g1	0.0662330946173351	0.0620499304659071	1.06741609732708	0.285783982642765	-0.0553825343390575	0.187848723573728
EmoDiss	~	credit_dose_c	1	W4__a1c_g1	-0.036596660258113	0.156671375781214	-0.233588682525	0.815304314747868	-0.343666914197633	0.270473593681407
EmoDiss	~	XZ_c	1	W4__a1z_g1	0.0261830208099796	0.122329153994417	0.21403745513661	0.830517848950675	-0.213577715278333	0.265943756898292
EmoDiss	~	cohort	1	W4__g1_g1	-0.00103182067538124	0.0226383806859386	-0.0455783781400114	0.963646303003546	-0.045402231488128	0.0433385901373655
EmoDiss	~	hgrades_c	1		-0.0562696920914568	0.022088330829539	-2.54748502843893	0.0108502508786028	-0.099562024995959	-0.0129773591869545
EmoDiss	~	bparented_c	1		0.0222672803924111	0.0225761341672554	0.986319456973629	0.323976374839465	-0.0219811294855536	0.0665156902703758
EmoDiss	~	pell	1		0.197620969797532	0.0232471474543629	8.50086963080038	0	0.152057398043689	0.243184541551375
EmoDiss	~	hapcl	1		-0.0302086334490329	0.0239533980459194	-1.26114188020931	0.207257733998846	-0.0771564309263869	0.0167391640283212
EmoDiss	~	hprecalc13	1		-0.070314259934591	0.0230885810436735	-3.04541278658862	0.00232361157547878	-0.115567047234325	-0.0250614726348567
EmoDiss	~	hchallenge_c	1		0.00827484208312152	0.0233634191511037	0.354179413107461	0.723204430881142	-0.0375166180087551	0.0540663021749982
EmoDiss	~	cSFcareer_c	1		-0.0153485776738356	0.0231321051959003	-0.66351841061815	0.506998592283977	-0.0606866707443921	0.0299895153967208
QualEngag	~	x_FASt	1	W4__a2_g1	-0.0362208437940308	0.0634483729731773	-0.570871120829893	0.568087008323407	-0.160577369699123	0.0881356821110612
QualEngag	~	credit_dose_c	1	W4__a2c_g1	0.0977906039579351	0.159546637890366	0.612928014347334	0.539923938782918	-0.214915060161635	0.410496268077505
QualEngag	~	XZ_c	1	W4__a2z_g1	-0.0775311010517876	0.124308460938466	-0.623699307886742	0.532825077707136	-0.321171207464786	0.166109005361211
QualEngag	~	cohort	1	W4__g2_g1	-0.0177436038555122	0.0228688720620719	-0.775884521429462	0.437817172627281	-0.0625657694642273	0.0270785617532029
QualEngag	~	hgrades_c	1		0.0202535522136465	0.0231454292645525	0.875056236034689	0.381543307869198	-0.0251106555515958	0.0656177599788887
QualEngag	~	bparented_c	1		0.0133149647393348	0.0230165012700053	0.578496470125396	0.562928979873929	-0.0317965487999961	0.0584264782786657
QualEngag	~	pell	1		-0.207461752180521	0.0232496943324633	-8.92320342856481	0	-0.253030315723714	-0.161893188637327
QualEngag	~	hapcl	1		0.0847724657380777	0.0234007818103197	3.62263391134621	0.000291618405690919	0.0389077761797711	0.130637155296384
QualEngag	~	hprecalc13	1		0.0307021542205491	0.0230636316102349	1.33119340177652	0.183125381940144	-0.0145017330882109	0.0759060415293091
QualEngag	~	hchallenge_c	1		-0.022203415894362	0.0226496886992403	-0.980296735606204	0.326939665625302	-0.0665959900059168	0.0221891582171928
QualEngag	~	cSFcareer_c	1		-0.0147045109250412	0.022827018887252	-0.644171321611034	0.519464345398618	-0.0594446458184706	0.0300356239683883
DevAdj	~	x_FASt	1	W4__c_g1	-0.0875637741490798	0.0649110340430988	-1.34898134716111	0.177342957454832	-0.214787063072807	0.0396595147746471
