lhs	op	rhs	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	0.462998020418883	0.651689336700053	0.651689336700053
Belong	=~	sbmyself		1.06990983873398	0.0760564218287716	14.0673175651453	0	0.495366137360518	0.722772929120577	0.722772929120577
Belong	=~	sbcommunity		1.24477461124532	0.0928847663321449	13.401278383951	0	0.576328180874266	0.727302676354866	0.727302676354866
Gains	=~	pganalyze		1	0	NA	NA	0.360928542035111	0.606567735310198	0.606567735310198
Gains	=~	pgthink		0.670108063753951	0.082972196248763	8.07629656740515	6.66133814775094e-16	0.241861126456684	0.441660321481241	0.441660321481241
Gains	=~	pgwork		1.03504179812484	0.109377185097892	9.46305024396528	0	0.373576127142597	0.608985725848521	0.608985725848521
Gains	=~	pgvalues		0.671322080760563	0.0868291797524082	7.73152622971707	1.06581410364015e-14	0.242299299844887	0.438183149112314	0.438183149112314
Gains	=~	pgprobsolve		0.883429729222873	0.0961521586424419	9.18783043143167	0	0.318855004158884	0.525236215938832	0.525236215938832
SupportEnv	=~	SEacademic		1	0	NA	NA	0.26805997883028	0.523313877329679	0.523313877329679
SupportEnv	=~	SEwellness		1.39005619887875	0.130784204704739	10.6286244735514	0	0.372618435244337	0.625431351085453	0.625431351085453
SupportEnv	=~	SEnonacad		1.40460991370985	0.125965912655523	11.1507143805722	0	0.376519703733863	0.631082025734842	0.631082025734842
SupportEnv	=~	SEactivities		1.6493263163332	0.154834240885394	10.6522065591034	0	0.442118377440501	0.700621953584865	0.700621953584865
SupportEnv	=~	SEdiverse		1.19169907880666	0.122875659603008	9.69841450012843	0	0.319446829836978	0.538079875328951	0.538079875328951
Satisf	=~	sameinst		1	0	NA	NA	0.479327178786017	0.727780550453867	0.727780550453867
Satisf	=~	evalexp		1.08371171950817	0.154400870329994	7.01881872292561	2.23754348382954e-12	0.519452481129195	0.740293692283321	0.740293692283321
DevAdj	=~	Belong		1	0	NA	NA	0.520119919726044	0.520119919726044	0.520119919726044
DevAdj	=~	Gains		0.66023005272126	0.140652402451322	4.69405457151546	2.67842531709306e-06	0.440510924001636	0.440510924001636	0.440510924001636
DevAdj	=~	SupportEnv		0.534555217254176	0.0890747617431264	6.00119727286754	1.95867855268261e-09	0.480223285473161	0.480223285473161	0.480223285473161
DevAdj	=~	Satisf		0.926814095820581	0.174824648324586	5.3013925936795	1.14922652505456e-07	0.465632404474772	0.465632404474772	0.465632404474772
EmoDiss	=~	MHWdacad		1	0	NA	NA	0.777696496336029	0.530296290107277	0.530296290107277
EmoDiss	=~	MHWdlonely		1.07612105458182	0.10819128361262	9.94646720742202	0	0.836895573781712	0.563387655304035	0.563387655304035
EmoDiss	=~	MHWdmental		1.31819697868509	0.112761748272707	11.6901076728353	0	1.02515717180413	0.660831951288417	0.660831951288417
EmoDiss	=~	MHWdexhaust		1.08564757593312	0.114747526166889	9.4611850224479	0	0.844304316058887	0.562147865288533	0.562147865288533
EmoDiss	=~	MHWdsleep		1.10695534945644	0.0909830144775975	12.1666154480846	0	0.860875296872698	0.598699046169661	0.598699046169661
EmoDiss	=~	MHWdfinancial		1.08738044721422	0.0987639961123658	11.0098871047814	0	0.845651963982805	0.574777544487475	0.574777544487475
QualEngag	=~	QIadmin		1	0	NA	NA	1.07295852772244	0.734765687151882	0.734765687151882
QualEngag	=~	QIstudent		0.867608822165484	0.05586474061761	15.5305262778217	0	0.930908284469676	0.698332154805888	0.698332154805888
QualEngag	=~	QIadvisor		0.903456587389269	0.0543022520933579	16.6375528189148	0	0.969371449866329	0.73810560876865	0.73810560876865
QualEngag	=~	QIfaculty		0.924017564510542	0.0530412229777234	17.4207439541621	0	0.991432525606904	0.711050998478341	0.711050998478341
QualEngag	=~	QIstaff		0.908225910406041	0.0506087430061316	17.9460278295393	0	0.974488735668637	0.716609002163174	0.716609002163174
EmoDiss	~	x_FASt	a1	0.257030957901011	0.0831680496716702	3.09050120708271	0.00199818992497725	0.330502913555564	0.165186643733886	0.330502913555564
EmoDiss	~	XZ_c	a1z	0.149680329037452	0.0386819500043398	3.86951353333167	0.000109052728215486	0.192466250963766	0.240539809649817	0.192466250963766
EmoDiss	~	cohort	g1	-0.0522806308050495	0.0624296257776339	-0.837433032055426	0.402349204917485	-0.0672249792192197	-0.0336083007866509	-0.0672249792192197
EmoDiss	~	hgrades_c		-0.0022212780568501	0.0266182871399278	-0.0834493235861956	0.933494270694644	-0.00285622741945635	-0.0033163921797155	-0.00285622741945635
EmoDiss	~	bparented_c		-0.00174462258474062	0.0243855708571506	-0.0715432332899044	0.942965417499652	-0.00224332061795325	-0.00253423221083352	-0.00224332061795325
EmoDiss	~	pell		0.0541365915405505	0.0630184035767269	0.859060027990672	0.390307398787612	0.0696114638494642	0.0345835338652878	0.0696114638494642
EmoDiss	~	hapcl		0.0332952631525592	0.0627184021220667	0.530869123351672	0.595509475608577	0.0428126696075186	0.0213743584067192	0.0428126696075186
EmoDiss	~	hprecalc13		-0.0969405528790105	0.0660193904883003	-1.46836485708225	0.142005142218371	-0.124650880305785	-0.0603985845890267	-0.124650880305785
EmoDiss	~	hchallenge_c		-0.0495425790349866	0.0340161629603971	-1.45644231222275	0.145270385926934	-0.0637042590115774	-0.0546076977573806	-0.0637042590115774
EmoDiss	~	cSFcareer_c		-0.0142948658186735	0.0337076037730691	-0.424084307947589	0.671504329170319	-0.0183810341000906	-0.017492603818025	-0.0183810341000906
QualEngag	~	x_FASt	a2	0.0784352469034188	0.108831735152351	0.720701979010248	0.471092894554237	0.0731018439919694	0.0365365864097337	0.0731018439919694
QualEngag	~	XZ_c	a2z	-0.251867478377231	0.0537993039357874	-4.68161221338198	2.8462752252878e-06	-0.234741112419199	-0.293373940706781	-0.234741112419199
QualEngag	~	cohort	g2	0.0506833131949575	0.0852318198541333	0.594652481686975	0.552075791251125	0.0472369731778382	0.0236155432288756	0.0472369731778382
QualEngag	~	hgrades_c		0.0508450846601673	0.0376901161445803	1.34902966244848	0.177327438708393	0.047387744583284	0.0550223502791915	0.047387744583284
QualEngag	~	bparented_c		0.0535948305259248	0.0365116209457458	1.46788417324894	0.142135687950775	0.0499505145270527	0.0564280477115476	0.0499505145270527
QualEngag	~	pell		-0.184487059268501	0.0849652092649262	-2.17132472060724	0.0299066349205879	-0.171942395257448	-0.0854223617840272	-0.171942395257448
QualEngag	~	hapcl		0.0453834700903408	0.0836263904597415	0.54269315990852	0.587341084526877	0.0422975063040656	0.0211171615258207	0.0422975063040656
QualEngag	~	hprecalc13		0.429375905471006	0.0825262056898327	5.20290375501785	1.96198491675403e-07	0.400179405239865	0.193903722130751	0.400179405239865
QualEngag	~	hchallenge_c		0.122021170265452	0.0487808206076278	2.50141692463394	0.0123697459806638	0.113724032302037	0.0974849669403043	0.113724032302037
QualEngag	~	cSFcareer_c		-0.128413362837307	0.0480767140786297	-2.67100955833392	0.00756234933557165	-0.119681571579368	-0.113896873514106	-0.119681571579368
DevAdj	~	x_FASt	c	0.0381040760139296	0.0315236446853492	1.20874589198878	0.226760484784265	0.158229994820676	0.0790839678273019	0.158229994820676
DevAdj	~	XZ_c	cz	-0.0102970798793293	0.0172888730280595	-0.595589999568932	0.551449159023373	-0.0427593860399275	-0.0534396785269305	-0.0427593860399275
DevAdj	~	EmoDiss	b1	-0.121932975466293	0.0278089936082516	-4.38465976813027	1.16167197568018e-05	-0.393775501393338	-0.393775501393338	-0.393775501393338
DevAdj	~	QualEngag	b2	0.123194919094824	0.0195204199353007	6.31107934681457	2.77096123824094e-10	0.548899849219744	0.548899849219744	0.548899849219744
DevAdj	~	cohort	g3	-0.0813335723132575	0.0282281269322265	-2.88129540116256	0.00396044267436979	-0.337743676586442	-0.168850793311383	-0.337743676586442
DevAdj	~	hgrades_c		0.0389893530341903	0.0109554226123228	3.55890908218679	0.00037239840654224	0.161906173145523	0.187990761103216	0.161906173145523
DevAdj	~	bparented_c		-0.00188137854808698	0.00991797549137836	-0.189693808955512	0.849549072465165	-0.00781256361683481	-0.00882568911840731	-0.00781256361683481
