lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.88312428301981	0.00844345227317573	104.592796222161	0	0.866575420659203	0.899673145380418
Belong	=~	sbmyself		0.85335278342732	0.00916669213445708	93.0927722792844	0	0.835386396986418	0.871319169868223
Belong	=~	sbcommunity		0.900089210202655	0.00781103237188521	115.233066174762	0	0.884779868071683	0.915398552333626
Gains	=~	pganalyze		0.737894205218665	0.0143195200214238	51.5306521527735	0	0.709828461700774	0.765959948736556
Gains	=~	pgthink		0.792177546593302	0.0130142804769527	60.8698689102475	0	0.766670025573772	0.817685067612832
Gains	=~	pgwork		0.74563989729488	0.0139458025957928	53.4669763301991	0	0.718306626471621	0.772973168118139
Gains	=~	pgvalues		0.713018750858587	0.0149707724336762	47.6273855619286	0	0.683676576067837	0.742360925649337
Gains	=~	pgprobsolve		0.775704800887067	0.0128993159373642	60.1353439712381	0	0.75042260622463	0.800986995549504
SupportEnv	=~	SEacademic		0.864132733744085	0.0081391604378742	106.169762881561	0	0.848180272421459	0.880085195066712
SupportEnv	=~	SEwellness		0.842288234462431	0.00901932245736496	93.3870851656533	0	0.824610687281043	0.85996578164382
SupportEnv	=~	SEnonacad		0.81497011434955	0.0100346824975123	81.2153363648119	0	0.795302498058132	0.834637730640969
SupportEnv	=~	SEactivities		0.789783932131385	0.0114015594481411	69.2698166179499	0	0.767437286245436	0.812130578017333
SupportEnv	=~	SEdiverse		0.839411308231014	0.00909092476381699	92.3350847178909	0	0.82159342310777	0.857229193354259
Satisf	=~	sameinst		0.892829148200506	0.012254667691692	72.8562512393375	0	0.868810440882283	0.916847855518729
Satisf	=~	evalexp		0.891071400809517	0.0123785329038836	71.9852189050575	0	0.866809922136462	0.915332879482573
DevAdj	=~	Belong		0.647116191059367	0.0194059584641964	33.346262811666	0	0.609081211384062	0.685151170734672
DevAdj	=~	Gains		0.493762707298659	0.024527089551538	20.1313207692715	0	0.445690495132056	0.541834919465262
DevAdj	=~	SupportEnv		0.664157806107148	0.0188983340512653	35.1437224204787	0	0.627117751998861	0.701197860215435
DevAdj	=~	Satisf		0.695425415786727	0.0174818795916303	39.7797852422959	0	0.661161561405066	0.729689270168388
EmoDiss	=~	MHWdacad		0.896508529844754	0.0056516085067209	158.628915781874	0	0.885431580716861	0.907585478972647
EmoDiss	=~	MHWdlonely		0.928903029786984	0.00435768179664334	213.164492759087	0	0.920362130409477	0.93744392916449
EmoDiss	=~	MHWdmental		0.938436337531883	0.00378880338052739	247.686734644239	0	0.931010419361546	0.945862255702221
EmoDiss	=~	MHWdexhaust		0.926753151357771	0.00432449644769983	214.303136230047	0	0.918277294069008	0.935229008646534
